imdb_id,rating
0070379,1
0070300,3
0070294,3
0070666,1
0069995,3
0070723,1
0068699,1
0069987,3
0068370,3
0069762,0
0069704,2
0070819,2
0070468,0
0070511,0
0070122,0
0070460,3
0070707,1
0068232,3
0069067,2
0070608,3
0068359,2
0070047,3
0070917,3
0070233,1
0070040,3
0070328,1
0069754,3
0070842,3
0070510,3
0070904,2
0158714,3
0069990,3
0070634,1
0070239,0
0069747,2
0070518,1
0070034,1
0070782,3
0068282,3
0072979,3
0071803,3
0071431,2
0071360,1
0070003,3
0071807,1
0071402,3
0072226,2
0072431,2
0071230,1
0074462,1
0072308,1
0071247,3
0071690,3
0071562,2
0072325,3
0071464,3
0071222,3
0070297,1
0070948,2
0071565,1
0071970,0
0071110,3
0071994,0
0071583,1
0071381,3
0072353,2
0071717,0
0071141,3
0072271,1
0072417,3
0071695,0
0071115,3
0072354,3
0071935,3
0071517,3
0071315,2
0069945,0
0073179,2
0072856,3
0073172,1
0072933,3
0072500,3
0073312,3
0072895,0
0073471,3
0072448,1
0073440,3
0073076,3
0073778,3
0072890,3
0072443,3
0073540,3
0073195,3
0071798,3
0073802,1
0073747,3
0073198,3
0073598,3
0073582,3
0073650,3
0073233,3
0073115,3
0071427,3
0073486,2
0073373,1
